Timestamp,logNN.px,logNN.py,logNN.pz
81151,0.003996863029897213,0.002145416336134076,-0.5051019787788391
81251,0.0042258938774466515,0.002255195053294301,-0.5053712725639343
81351,0.0040221489034593105,0.0021201909985393286,-0.5050812363624573
81451,0.004254781641066074,0.0022012386471033096,-0.505377471446991
81551,0.004522340837866068,0.002381175523623824,-0.505759596824646
81651,0.004376757424324751,0.0023083328269422054,-0.5056216716766357
81751,0.004416415933519602,0.0022816695272922516,-0.5055835843086243
81851,0.0044541326351463795,0.002345089800655842,-0.5056689977645874
81951,0.004557847511023283,0.0023457901552319527,-0.505832314491272
82051,0.004511845763772726,0.0023670936934649944,-0.5058262944221497
82151,0.004702016711235046,0.0023831825237721205,-0.5058659911155701
82251,0.004390619229525328,0.00232957792468369,-0.5056445002555847
82351,0.004249752499163151,0.0021463471930474043,-0.5053082704544067
82451,0.004162176977843046,0.0021515085827559233,-0.5052042007446289
82551,0.003975034225732088,0.0021145071368664503,-0.504948079586029
82651,0.003622581949457526,0.0019684943836182356,-0.5044628977775574
82751,0.003506376873701811,0.0018613896099850535,-0.5042572021484375
82851,0.003238835372030735,0.0017422745004296303,-0.5039317607879639
82951,0.003024986945092678,0.0016299027483910322,-0.5037244558334351
83051,0.003501933068037033,0.0018645015079528093,-0.5043362379074097
83151,0.003120055887848139,0.00171165622305125,-0.5038142800331116
83251,0.0034469799138605595,0.0019030458061024547,-0.5042882561683655
83351,0.0037341343704611063,0.0020257809665054083,-0.5046470165252686
83451,0.003455899655818939,0.0018494061660021544,-0.5043962597846985
83551,0.0034730813931673765,0.0019092070870101452,-0.5042560696601868
83651,0.003567514708265662,0.0019835454877465963,-0.5044824481010437
83751,0.0037089840043336153,0.0019676503725349903,-0.5045617818832397
83851,0.0038691661320626736,0.0020669258665293455,-0.5048730373382568
83951,0.004309973679482937,0.0023004491813480854,-0.5055117011070251
84051,0.004774174652993679,0.002476469613611698,-0.5060535073280334
84151,0.004666556138545275,0.002491908147931099,-0.5059732794761658
84251,0.004796082619577646,0.0024896429385989904,-0.5062283277511597
84351,0.004928730893880129,0.0025666174478828907,-0.506382942199707
84451,0.005321187898516655,0.0027233357541263103,-0.5068596005439758
84551,0.005172524601221085,0.0026829943526536226,-0.5066422820091248
84651,0.005060235504060984,0.0026518586091697216,-0.5064542293548584
