Timestamp,logNN.wx,logNN.wy,logNN.wz
78569,-0.0007840098696760833,0.0045393360778689384,0.0020767832174897194
78668,-0.0004277439438737929,-0.006675950717180967,-0.0004069914866704494
78768,-0.0038260885048657656,-0.0035269155632704496,-0.003426983952522278
78868,-0.00448556849732995,-0.0013154606567695737,0.0005340494099073112
78968,0.00013462814968079329,0.0024052963126450777,0.0015407626051455736
79068,-0.0010221550473943353,0.0041112350299954414,-0.0005692691192962229
79168,-0.00452160369604826,-0.0023788916878402233,0.001898516551591456
79268,0.0013852411648258567,0.00021083789761178195,-0.0003613544104155153
79368,-0.0026716990396380424,0.001031533582136035,0.0016627974109724164
79468,-0.001488235779106617,0.001723793800920248,-0.0002484904252924025
79566,-0.0004548025317490101,-0.0022450359538197517,-0.0021682269871234894
79666,-0.002805170835927129,-0.003574622329324484,0.00023339514154940844
79766,-0.0017014314653351903,0.004527513403445482,-0.0018909618956968188
79866,-0.0003215610922779888,0.0019484669901430607,0.002937205834314227
79966,0.0007236514938995242,0.0020706295035779476,0.00160050333943218
80066,-0.00016074901213869452,-0.0006366249290294945,-0.0003693562757689506
80166,-0.0006021876470185816,-0.0011971172643825412,-0.001773671479895711
80266,0.001211129012517631,0.0038901783991605043,0.0011030067689716816
80366,8.27265321277082e-05,-0.002159636002033949,-0.0007390406099148095
80466,-0.0015359607059508562,-0.0035575670190155506,-0.0009497638675384223
80566,0.0021423811558634043,-0.0006830162019468844,-0.003857682691887021
80666,-0.0005406192503869534,0.0031971470452845097,0.0005757931503467262
80766,-0.0007819136371836066,-0.00024278256751131266,0.001354039297439158
80866,0.0009764537098817527,-0.0017930042231455445,-0.0001549841690575704
80966,0.0006983616040088236,0.0007405136129818857,9.137865708908066e-05
81066,-0.004324669949710369,0.0004836389562115073,0.0006500379531644285
81166,-0.0010017530294135213,0.0005615287227556109,0.0001555456401547417
81266,0.0006796453380957246,0.0021624185610562563,0.0012757647782564163
81366,-0.0036505996249616146,-0.0035427422262728214,0.001247028587386012
81466,-0.0005938472459092736,-0.00039618590380996466,0.0029357238672673702
81566,-0.00164439354557544,-0.0026327893137931824,0.0010771368397399783
