Timestamp,logNN.t0,logNN.t1,logNN.t2,logNN.t3
87037,0.6117880344390869,0.5643108487129211,0.5902650356292725,0.5829617977142334
87137,0.6112549304962158,0.5646073222160339,0.590035080909729,0.5832401514053345
87237,0.6114966869354248,0.5649266839027405,0.5904529690742493,0.5840708017349243
87337,0.6114400625228882,0.564509391784668,0.590415358543396,0.5838282704353333
87437,0.6115812659263611,0.5639947056770325,0.5901588797569275,0.5821999907493591
87537,0.6112833023071289,0.5641999840736389,0.5901520252227783,0.5826631784439087
87637,0.6121817827224731,0.5644930601119995,0.590658962726593,0.5828043222427368
87737,0.611819863319397,0.5647968053817749,0.5907338261604309,0.5840398073196411
87837,0.6112582087516785,0.5641566514968872,0.5899933576583862,0.5823338031768799
87937,0.6114341616630554,0.5644053220748901,0.5902739763259888,0.583210289478302
88037,0.6114431619644165,0.5645140409469604,0.5903119444847107,0.5834741592407227
88137,0.6117227077484131,0.5648007392883301,0.5902977585792542,0.5827684998512268
88237,0.611669659614563,0.5649707913398743,0.5903946161270142,0.5835669040679932
88337,0.6115120649337769,0.5649924874305725,0.590353786945343,0.5840034484863281
88437,0.6116390824317932,0.5647518634796143,0.5901921391487122,0.5834468603134155
88537,0.6114372611045837,0.5646818280220032,0.5901514291763306,0.5838425159454346
88637,0.6112608909606934,0.5643580555915833,0.5899492502212524,0.5834104418754578
88737,0.6113656759262085,0.5635427236557007,0.5898914933204651,0.5828457474708557
88837,0.6115180253982544,0.5642160773277283,0.5900684595108032,0.5829811692237854
88937,0.61130690574646,0.5639010667800903,0.5899547934532166,0.5826413035392761
89037,0.6113278269767761,0.5643360018730164,0.5901219248771667,0.5834911465644836
89137,0.6114646792411804,0.564387321472168,0.5901390314102173,0.5833929777145386
89237,0.6114648580551147,0.5644474029541016,0.5901867151260376,0.5831226110458374
89337,0.6123422384262085,0.565619707107544,0.5910149812698364,0.5847020745277405
89437,0.6109601855278015,0.5640308856964111,0.5897411704063416,0.581847071647644
89537,0.610881507396698,0.5637817978858948,0.5898191332817078,0.5821559429168701
89637,0.6118307113647461,0.5646560192108154,0.5903922319412231,0.582900881767273
89737,0.6113495230674744,0.5642530918121338,0.590183436870575,0.5828338861465454
89837,0.6120394468307495,0.5646646022796631,0.5905123353004456,0.5825665593147278
89937,0.6119078397750854,0.5649837851524353,0.5906732678413391,0.5834175944328308
90037,0.6116428971290588,0.5645614862442017,0.59030681848526,0.5827623605728149
90137,0.6111998558044434,0.5635508894920349,0.5898259282112122,0.5816449522972107
90237,0.6114658713340759,0.5640484094619751,0.5900292992591858,0.5822424292564392
90337,0.6120651364326477,0.5646665692329407,0.5905358195304871,0.5830793976783752
90437,0.6111980676651001,0.5643332600593567,0.5901136994361877,0.5831449031829834
90537,0.6116235256195068,0.5650553703308105,0.5905026197433472,0.5840965509414673
90637,0.6118690371513367,0.5641915798187256,0.5900987386703491,0.5824775695800781
90737,0.611406683921814,0.5639273524284363,0.5898517966270447,0.5820094347000122
90837,0.6116654872894287,0.5648348331451416,0.5902953147888184,0.5829576253890991
90937,0.6114606857299805,0.5643399357795715,0.5902164578437805,0.5831189155578613
91037,0.6112005114555359,0.5640059113502502,0.5899681448936462,0.5829765796661377
91137,0.6117302775382996,0.5640643835067749,0.590166449546814,0.5825488567352295
91237,0.6112831830978394,0.5643060207366943,0.589975893497467,0.5826522707939148
