Timestamp,logNN.px,logNN.py,logNN.pz
1650075,0.006304115056991577,0.0012391514610499144,-0.5077151656150818
1650175,0.006480042356997728,0.0012861989671364427,-0.507807731628418
1650275,0.006310560740530491,0.0012409051414579153,-0.5075769424438477
1650375,0.006188187748193741,0.001196677447296679,-0.5074811577796936
1650475,0.006296281702816486,0.0012773210182785988,-0.5078096389770508
1650575,0.006224348675459623,0.001283072168007493,-0.5075026750564575
1650675,0.005886181723326445,0.0012067320058122277,-0.5072426199913025
1650775,0.006023966707289219,0.0011746605159714818,-0.5071542263031006
1650875,0.005891455803066492,0.001187704037874937,-0.5071279406547546
1650975,0.005960812326520681,0.001154099008999765,-0.5072263479232788
1651075,0.006212596315890551,0.0011800577631220222,-0.5075127482414246
1651175,0.006008594762533903,0.001238564494997263,-0.5073309540748596
1651275,0.005941946525126696,0.0011634835973381996,-0.5072226524353027
1651375,0.006087669637054205,0.0011846328852698207,-0.5074384808540344
1651475,0.005957126151770353,0.0011617551790550351,-0.5071042776107788
1651575,0.0059342896565794945,0.0011582095175981522,-0.5071343779563904
1651675,0.005978553555905819,0.0011809064308181405,-0.5072119235992432
1651775,0.006069161929190159,0.0011665213387459517,-0.5073732733726501
1651875,0.006403972394764423,0.0012375371297821403,-0.5077812075614929
1651975,0.0065722097642719746,0.0012734484625980258,-0.507912814617157
1652075,0.006336487829685211,0.001299241092056036,-0.5077179074287415
1652175,0.006202929653227329,0.001286739599891007,-0.5075739026069641
1652275,0.006362388841807842,0.0012391398195177317,-0.507679283618927
1652375,0.006248658522963524,0.0011878046207129955,-0.5075014233589172
1652475,0.006131794769316912,0.001203734427690506,-0.5074107050895691
1652575,0.006190731190145016,0.001287655089981854,-0.5075693726539612
1652675,0.006478636059910059,0.0012669690186157823,-0.507799506187439
1652775,0.006115132477134466,0.001186734763905406,-0.507554829120636
1652875,0.006354766897857189,0.0012335843639448285,-0.5077497363090515
1652976,0.0061584776267409325,0.0012894102837890387,-0.5074037313461304
1653075,0.005411624442785978,0.001063234405592084,-0.5064955949783325
1653175,0.005706695839762688,0.0010561186354607344,-0.5068373084068298
1653276,0.005391962360590696,0.0010050932178273797,-0.5065232515335083
1653376,0.0051690819673240185,0.0009016611729748547,-0.5062205791473389
