Timestamp,logNN.vx,logNN.vy,logNN.vz
1648338,0.00405206810683012,0.0008854416664689779,-0.003240147838369012
1648437,0.0027263383381068707,0.000926149426959455,-0.003684175666421652
1648538,0.004060423467308283,-0.0007078697090037167,-0.0033449477050453424
1648638,0.0037623730022460222,0.0009935220004990697,-0.004118072800338268
1648737,0.0036487425677478313,0.0019432439003139734,-0.0034382902085781097
1648838,0.0038679493591189384,-0.00044625549344345927,-0.0028170442674309015
1648938,0.0033759507350623608,0.00011637072020675987,-0.0030043793376535177
1649036,0.0031639342196285725,6.327310256892815e-05,-0.002761670621111989
1649136,0.003414162201806903,-0.0002730730047915131,-0.00277214078232646
1649236,0.0025670845061540604,8.023812551982701e-05,-0.003562838537618518
1649336,0.0018564399797469378,0.0010727994376793504,-0.005536653567105532
1649436,0.004891610704362392,0.001188133261166513,-0.004908356349915266
1649536,0.004455301444977522,0.0013413415290415287,-0.005075032822787762
1649636,0.005751118995249271,0.0004666961031034589,-0.00516469357535243
1649736,0.005445745773613453,0.001752248266711831,-0.006807929836213589
1649836,0.0066318451426923275,0.001222388818860054,-0.006979010067880154
1649936,0.006051366683095694,0.0010305139003321528,-0.006005881354212761
1650036,0.0055427527986466885,0.0015072548994794488,-0.006303203757852316
1650136,0.00590332830324769,0.00162159139290452,-0.005204560700803995
1650236,0.005114947445690632,0.0022383048199117184,-0.006425545550882816
1650336,0.005607369355857372,0.0013243315042927861,-0.00506608234718442
1650436,0.004267612472176552,0.001102888723835349,-0.006458698306232691
1650536,0.005758742336183786,0.002289291238412261,-0.004604731220752001
1650636,0.00420468021184206,0.0009070857195183635,-0.005428222939372063
1650736,0.004581914283335209,0.0008572538499720395,-0.004606264177709818
1650836,0.004038601648062468,0.0014395235339179635,-0.0055452147498726845
1650936,0.0040801456198096275,0.00047000922495499253,-0.004845109768211842
1651036,0.0039629945531487465,0.0006326340953819454,-0.004482048563659191
1651136,0.004310878459364176,0.001532473135739565,-0.004711522720754147
1651236,0.005207833368331194,0.0013393309200182557,-0.004632154479622841
1651336,0.003904357785359025,0.0009701350354589522,-0.004756199661642313
1651436,0.004819532390683889,0.0008110469789244235,-0.003320546355098486
1651536,0.004080879967659712,0.00023979632533155382,-0.00493970513343811
