Timestamp,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.roll,stateEstimate.pitch,stateEstimate.yaw
818153,0.27509912848472595,-0.5873995423316956,0.9877732396125793,0.7270870804786682,-0.31773170828819275,28.333784103393555
818193,0.275225430727005,-0.5873365998268127,0.9870049953460693,0.5990177392959595,-0.32946959137916565,28.355501174926758
818233,0.275657057762146,-0.5875727534294128,0.9862298369407654,0.6002498865127563,-0.3182046115398407,28.711416244506836
818273,0.27562791109085083,-0.5876433253288269,0.9862384796142578,0.4385523200035095,-0.39681893587112427,28.75404930114746
818313,0.27518564462661743,-0.5875714421272278,0.9860007166862488,0.32491806149482727,-0.40969955921173096,28.53437614440918
818353,0.27480006217956543,-0.5874159336090088,0.9857724905014038,0.2325158417224884,-0.37941744923591614,28.60344123840332
818393,0.27424123883247375,-0.5871655344963074,0.9858959913253784,0.07335609942674637,-0.468590646982193,28.399301528930664
818433,0.2737296521663666,-0.586851179599762,0.9857041835784912,-0.056197211146354675,-0.5143387913703918,28.4622859954834
818473,0.2731179893016815,-0.5868748426437378,0.9853360652923584,-0.007612171117216349,-0.34694185853004456,28.291744232177734
818515,0.27232930064201355,-0.5859107971191406,0.985312283039093,-0.11614908277988434,-0.381924569606781,28.246274948120117
818553,0.27144116163253784,-0.5854085683822632,0.9863439798355103,-0.32259276509284973,-0.5894511342048645,28.18160057067871
818593,0.27003034949302673,-0.5847357511520386,0.9866814017295837,-0.21542122960090637,-0.6239221096038818,27.989789962768555
818633,0.2687816917896271,-0.5841429233551025,0.986271321773529,-0.27307185530662537,-0.6645874381065369,27.743234634399414
818673,0.26745620369911194,-0.5842739343643188,0.9853073358535767,-0.11441664397716522,-0.3959466516971588,27.518451690673828
